GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0400000US01,01,Alabama,2158692,410
0400000US02,02,Alaska,283403,300
0400000US04,04,Arizona,2722712,514
0400000US05,05,Arkansas,1298176,426
0400000US06,06,California,13394143,1285
0400000US08,08,Colorado,2152124,716
0400000US09,09,Connecticut,1443192,218
0400000US10,10,Delaware,392967,97
0400000US11,11,District of Columbia,285363,47
0400000US12,12,Florida,8798213,1479
0400000US13,13,Georgia,4026181,845
0400000US15,15,Hawaii,512842,163
0400000US16,16,Idaho,641543,355
0400000US17,17,Illinois,5276082,1977
0400000US18,18,Indiana,2795063,434
0400000US19,19,Iowa,1328740,840
0400000US20,20,Kansas,1226429,963
0400000US21,21,Kentucky,1920533,436
0400000US22,22,Louisiana,1883134,828
0400000US23,23,Maine,700550,178
0400000US24,24,Maryland,2333250,619
0400000US25,25,Massachusetts,2735645,500
0400000US26,26,Michigan,4535568,952
0400000US27,27,Minnesota,2331203,857
0400000US28,28,Mississippi,1267191,411
0400000US29,29,Missouri,2664062,386
0400000US30,30,Montana,438337,154
0400000US31,31,Nebraska,785841,356
0400000US32,32,Nevada,1127100,122
0400000US33,33,New Hampshire,597088,547
0400000US34,34,New Jersey,3515923,1576
0400000US35,35,New Mexico,871721,370
0400000US36,36,New York,7977383,1883
0400000US37,37,North Carolina,4200447,1046
0400000US38,38,North Dakota,313018,393
0400000US39,39,Ohio,5080242,460
0400000US40,40,Oklahoma,1637213,440
0400000US41,41,Oregon,1628902,474
0400000US42,42,Pennsylvania,5496509,900
0400000US44,44,Rhode Island,451770,292
0400000US45,45,South Carolina,2056179,460
0400000US46,46,South Dakota,361455,274
0400000US47,47,Tennessee,2758261,381
0400000US48,48,Texas,9599073,1601
0400000US49,49,Utah,944475,426
0400000US50,50,Vermont,312618,117
0400000US51,51,Virginia,3306473,789
0400000US53,53,Washington,2791765,833
0400000US54,54,West Virginia,886419,220
0400000US55,55,Wisconsin,2568752,1014
0400000US56,56,Wyoming,246418,112
0400000US72,72,Puerto Rico,1432203,8069
