"State","2014","2015","2016","2017"
"Alabama","4885322.28318042","4919206.70674329","4953091.13030616","4986975.55386902"
"Alaska","745824.741615451","754194.073938962","762563.406262473","770932.738585983"
"Arizona","6784001.41774811","6841433.6520548","6898865.88636148","6956298.12066817"
"Arkansas","2973783.93937834","2980941.83077967","2988099.722181","2995257.61358233"
"California","39181362.8518317","39574948.0823225","39968533.3128133","40362118.5433041"
"Colorado","5426220.46514589","5498211.73708126","5570203.00901663","5642194.280952"
"Connecticut","3609974.42114502","3622056.84432872","3634139.26751242","3646221.69069612"
"Delaware","946038.222618056","956395.545180717","966752.867743379","977110.19030604"
"Florida","20108769.0011929","20335708.1706104","20562647.3400279","20789586.5094454"
"Georgia","10176710.2897154","10258359.5031045","10340008.7164936","10421657.9298827"
"Hawaii","1439835.43729053","1459601.05282849","1479366.66836644","1499132.2839044"
"Idaho","1654150.73897505","1674037.15052826","1693923.56208146","1713809.97363466"
"Illinois","12884553.4793637","12888058.6903334","12891563.9013032","12895069.1122729"
"Indiana","6635104.31181009","6672187.84101211","6709271.37021413","6746354.89941614"
"Iowa","3122855.58216809","3138674.37669376","3154493.17121943","3170311.9657451"
"Kansas","2922408.9733754","2939950.41403884","2957491.85470228","2975033.29536572"
"Kentucky","4440523.84647412","4466664.76515594","4492805.68383776","4518946.60251958"
"Louisiana","4700861.38191303","4749346.31790792","4797831.25390281","4846316.18989769"
"Maine","1331819.5541069","1333530.91257222","1335242.27103753","1336953.62950285"
"Maryland","6026784.67059021","6076861.46186375","6126938.25313729","6177015.04441084"
"Massachusetts","6782026.44270219","6820191.12399837","6858355.80529456","6896520.48659074"
"Michigan","9922288.04700856","9935499.85351388","9948711.66001919","9961923.4665245"
"Minnesota","5493491.43974372","5529894.96546497","5566298.49118622","5602702.01690747"
"Mississippi","2997948.08239274","3001492.45947944","3005036.83656614","3008581.21365285"
"Missouri","6091496.691019","6118572.40883897","6145648.12665894","6172723.84447891"
"Montana","1033099.4672287","1042522.40990022","1051945.35257173","1061368.29524325"
"Nebraska","1895929.07637167","1910211.28983847","1924493.50330528","1938775.71677208"
"Nevada","2879187.33240023","2919988.73237309","2960790.13234595","3001591.53231881"
"NewHampshire","1328025.62779753","1329445.88239272","1330866.13698791","1332286.3915831"
"NewJersey","8964364.17848952","8991785.2539084","9019206.32932728","9046627.40474616"
"NewMexico","2106740.13164469","2125819.5892213","2144899.0467979","2163978.50437451"
"NewYork","19795155.9485294","19848579.1240419","19902002.2995544","19955425.4750668"
"NorthCarolina","10082293.4509835","10216381.1544314","10350468.8578793","10484556.5613271"
"NorthDakota","752781.725771846","766428.648442215","780075.571112583","793722.493782952"
"Ohio","11608140.0675287","11623060.8583264","11637981.6491241","11652902.4399218"
"Oklahoma","3916775.14023955","3954446.33633149","3992117.53242343","4029788.72851537"
"Oregon","4001467.54444702","4033493.24171494","4065518.93898287","4097544.6362508"
"Pennsylvania","12844584.7551226","12897544.2124481","12950503.6697736","13003463.1270991"
"PuertoRico","3494751.73887964","3439961.67495746","3385171.61103528","3330381.5471131"
"RhodeIsland","1053468.30469745","1052273.6303909","1051078.95608435","1049884.2817778"
"SouthCarolina","4895638.5950801","4958172.02931871","5020705.46355731","5083238.89779592"
"SouthDakota","861710.514485671","870252.083664988","878793.652844304","887335.222023621"
"Tennessee","6605060.96389014","6660412.66167578","6715764.35946142","6771116.05724706"
"Texas","27379400.1541106","27809276.9223614","28239153.6906122","28669030.4588629"
"Utah","2986938.72068997","3030802.62301518","3074666.52534038","3118530.42766559"
"Vermont","627319.545183442","628000.481521443","628681.417859444","629362.354197445"
"Virginia","8414690.70971409","8500934.36940363","8587178.02909318","8673421.68878272"
"Washington","7144906.16713687","7228794.27149954","7312682.37586221","7396570.48022488"
"WestVirginia","1855455.23621123","1859703.93548508","1863952.63475893","1868201.33403277"
"Wisconsin","5783329.25877054","5808016.68445284","5832704.11013514","5857391.53581743"
"Wyoming","594440.083030699","603897.08969019","613354.09634968","622811.103009171"
